count,temperature,command,error,feedback     
   496,27,  89.00,   2.06,  91.06
   497,27,  68.50,   2.26,  70.76
   498,27,  13.50,   0.00,  13.50
   499,27,  18.50,   0.52,  19.02
   500,27,  74.00,   2.53,  76.53
   501,27, 114.50,   1.24, 115.74
   502,27, 153.00,   0.08, 153.08
   503,27,  64.50,   2.38,  66.88
   504,27,  44.50,   1.96,  46.46
   505,29, 151.00,   0.20, 151.20
   506,27,  65.00,   2.38,  67.38
   507,27, 150.50,   0.07, 150.57
   508,29,  81.50,   2.04,  83.54
   509,27,  60.50,   2.24,  62.74
   510,27, 162.00,  -0.27, 161.73
   511,27,  63.00,   2.25,  65.25
   512,27, 139.00,   0.55, 139.55
   513,29,  24.00,   1.41,  25.41
   514,27, 111.00,   1.23, 112.23
   515,27,  95.00,   2.07,  97.07
   516,27,  98.00,   1.45,  99.45
   517,27,  45.50,   1.96,  47.46
   518,27,  33.50,   1.80,  35.30
   519,27, 159.50,  -0.41, 159.09
   520,27,  35.00,   1.81,  36.81
   521,27, 140.50,   0.55, 141.05
   522,27,  44.00,   1.95,  45.95
   523,27,  42.00,   2.20,  44.20
   524,27, 120.00,   1.26, 121.26
   525,27,  16.00,   0.89,  16.89
   526,27, 104.00,   1.59, 105.59
   527,27,  79.50,   2.29,  81.79
   528,27,  94.50,   1.82,  96.32
   529,27, 128.50,   0.90, 129.40
   530,27,  99.00,   1.96, 100.96
   531,27,  33.00,   1.43,  34.43
   532,27, 144.00,   0.31, 144.31
   533,27, 148.00,   0.19, 148.19
   534,27,  48.50,   1.96,  50.46
   535,27, 151.50,   0.08, 151.58
   536,27, 143.00,   1.06, 144.06
   537,27, 110.50,   1.61, 112.11
   538,29, 152.50,   0.08, 152.58
   539,27, 155.00,   0.21, 155.21
   540,27, 150.00,   0.70, 150.70
   541,27, 126.00,   1.52, 127.52
   542,27, 166.00,  -0.64, 165.36
   543,27,  19.00,   0.52,  19.52
   544,27, 101.00,   1.46, 102.46
   545,27, 108.00,   1.10, 109.10
   546,27,  61.50,   2.12,  63.62
   547,27, 114.00,   1.12, 115.12
   548,27, 120.00,   1.13, 121.13
   549,27,  50.50,   1.97,  52.47
   550,27, 130.00,   0.65, 130.65
   551,27, 107.00,   1.98, 108.98
   552,27, 108.50,   1.60, 110.10
   553,27,  21.00,   0.90,  21.90
   554,27,  65.50,   2.00,  67.50
   555,27,  33.00,   1.43,  34.43
   556,27,  17.50,   1.14,  18.64
   557,27,  75.00,   2.15,  77.15
   558,28, 169.50,  -0.76, 168.74
   559,27,  80.00,   2.04,  82.04
   560,27,  70.00,   2.27,  72.27
   561,27,  38.00,   1.94,  39.94
   562,27, 139.50,   0.17, 139.67
   563,27,  83.50,   2.05,  85.55
   564,27, 140.00,   0.43, 140.43
   565,27,  58.50,   1.99,  60.49
   566,27,  72.00,   1.52,  73.52
   567,27,  13.50,  -0.12,  13.38
   568,27,  15.00,   0.01,  15.01
   569,29, 158.00,  -0.28, 157.72
   570,28, 164.50,  -0.52, 163.98
   571,27,  30.00,   1.67,  31.67
   572,27,  56.00,   1.98,  57.98
   573,27, 118.50,   1.13, 119.63
   574,27, 113.00,   1.62, 114.62
   575,27,  57.00,   2.24,  59.24
   576,27, 146.00,   0.19, 146.19
   577,27, 114.50,   1.62, 116.12
   578,27, 132.00,   0.78, 132.78
   579,27, 107.50,   1.60, 109.10
   580,29, 145.00,   0.19, 145.19
   581,27,  25.50,   1.41,  26.91
   582,27,  38.00,   1.56,  39.56
   583,27, 158.50,  -0.16, 158.34
   584,28, 109.50,   1.23, 110.73
   585,29, 135.50,   0.67, 136.17
   586,27,  70.50,   2.52,  73.02
   587,27, 146.00,   0.19, 146.19
   588,27, 120.00,   1.51, 121.51
   589,27,  43.50,   1.83,  45.33
   590,27,  88.50,   2.06,  90.56
   591,27,  28.50,   1.79,  30.29
   592,28,  47.50,   1.96,  49.46
   593,27,  56.50,   1.73,  58.23
   594,27, 110.50,   1.11, 111.61
   595,27,  75.50,   2.40,  77.90
